%hm0 hm0a hm0b hmax mdir mdira mdirb tp
2.46 1.45 2.03 3.91 188.44 194.06 187.73 10.16
2.15 1.33 1.72 3.28 193.36 198.98 193.36 10.35
2.34 1.45 1.84 3.95 187.73 188.44 187.03 10.94
2.30 1.41 1.84 2.97 191.25 194.06 191.95 10.16
2.15 1.29 1.76 4.26 189.84 198.98 188.44 10.64
2.30 1.45 1.76 3.20 184.22 187.03 185.62 10.64
2.19 1.41 1.68 3.40 185.62 184.92 186.33 11.23
2.03 1.05 1.72 2.97 185.62 191.25 184.22 11.04
2.38 1.60 1.76 3.24 183.52 186.33 183.52 10.35
2.30 1.13 1.99 3.52 180.70 184.92 180.70 9.67
2.30 1.48 1.80 2.93 178.59 183.52 175.08 10.94
2.07 1.37 1.56 3.09 177.19 177.19 177.89 11.13
1.99 1.21 1.56 2.85 179.30 181.41 177.89 11.23
2.23 1.52 1.60 3.59 179.30 182.81 180.70 10.64
2.07 1.25 1.64 2.73 179.30 184.22 179.30 11.13
2.27 1.41 1.76 2.81 179.30 181.41 180.00 10.06
2.15 1.45 1.60 2.73 174.38 175.08 175.08 10.16
2.15 1.41 1.60 2.97 175.08 179.30 172.27 10.94
2.27 1.56 1.64 3.12 172.97 176.48 172.27 11.23
2.19 1.45 1.64 3.12 170.86 172.97 170.16 10.35
2.15 1.25 1.76 2.85 178.59 186.33 178.59 9.18
2.07 1.21 1.68 2.73 174.38 172.97 174.38 11.04
2.23 1.45 1.72 3.16 175.08 179.30 173.67 10.25
1.95 1.29 1.45 2.93 175.08 178.59 172.27 10.64
2.07 1.33 1.56 2.89 172.27 180.70 170.16 10.16
1.84 1.05 1.48 2.46 176.48 180.00 176.48 10.25
1.91 1.25 1.45 2.58 167.34 172.27 164.53 11.62
2.07 1.45 1.52 2.85 169.45 172.97 167.34 10.64
1.76 0.98 1.45 2.89 167.34 171.56 170.16 11.91
1.80 0.98 1.48 2.30 166.64 166.64 165.23 11.82
1.91 1.25 1.45 2.34 168.75 170.86 166.64 10.55
1.80 1.05 1.45 2.70 168.75 170.86 167.34 10.94
1.84 1.05 1.48 2.34 169.45 174.38 168.75 10.25
1.72 1.02 1.37 2.27 170.86 176.48 169.45 10.45
1.76 1.21 1.29 2.30 170.86 177.19 168.75 11.13
1.95 1.37 1.41 2.58 172.27 176.48 170.16 11.23
1.88 1.13 1.52 2.62 166.64 170.16 164.53 11.04
1.84 1.05 1.48 2.42 166.64 171.56 166.64 9.96
1.80 0.94 1.52 2.42 164.53 171.56 163.12 8.79
1.88 1.02 1.60 2.77 165.23 174.38 163.83 10.55
1.80 1.02 1.48 3.24 161.72 170.16 160.31 10.74
1.88 1.13 1.48 3.12 161.72 164.53 162.42 10.64
1.91 1.09 1.56 2.73 168.05 177.19 164.53 11.13
1.84 1.05 1.52 2.54 169.45 174.38 167.34 10.74
1.88 1.02 1.56 3.01 169.45 168.75 167.34 9.86
1.80 0.94 1.56 2.77 171.56 174.38 170.16 9.86
1.88 0.98 1.60 3.16 165.23 168.05 165.23 9.96
1.80 0.90 1.52 2.54 168.05 173.67 167.34 9.96
1.68 0.90 1.45 2.85 164.53 165.23 163.83 11.13
1.72 0.90 1.45 2.19 165.23 173.67 165.23 10.45
1.52 0.74 1.33 2.11 161.72 168.05 160.31 10.55
1.56 0.86 1.33 2.27 169.45 173.67 170.16 9.18
1.56 0.78 1.37 2.27 163.83 166.64 163.83 10.35
1.41 0.55 1.29 2.27 166.64 179.30 164.53 9.18
1.33 0.70 1.13 1.91 165.94 167.34 164.53 10.16
1.45 0.78 1.17 2.19 165.23 173.67 160.31 11.04
1.41 0.62 1.25 1.95 164.53 172.97 163.12 9.67
1.41 0.62 1.25 1.84 160.31 170.86 158.20 10.25
1.45 0.74 1.25 2.34 152.58 163.12 150.47 11.13
1.41 0.78 1.17 2.23 156.09 168.05 152.58 10.45
1.60 0.74 1.41 2.11 153.98 163.12 150.47 8.69
1.41 0.74 1.21 1.99 149.06 156.09 148.36 10.35
1.45 0.59 1.33 1.99 144.84 172.27 141.33 8.59
1.72 0.78 1.52 2.38 146.95 155.39 144.84 8.79
1.48 0.70 1.33 2.07 144.14 165.94 138.52 10.55
1.60 0.51 1.52 2.46 147.66 170.16 143.44 8.59
1.60 0.74 1.41 2.11 149.06 155.39 146.95 9.18
1.45 0.62 1.33 2.19 146.25 158.91 143.44 8.11
1.52 0.51 1.41 1.99 143.44 153.28 141.33 9.08
1.48 0.59 1.37 2.11 148.36 164.53 145.55 8.11
1.56 0.62 1.45 2.03 149.77 158.20 146.95 8.79
1.64 0.62 1.48 2.85 146.95 156.09 146.25 8.11
1.41 0.55 1.33 2.07 151.17 162.42 149.77 8.01
1.56 0.66 1.41 2.30 152.58 158.20 151.88 8.98
1.48 0.47 1.41 2.19 149.06 163.83 147.66 8.59
1.41 0.59 1.29 1.88 151.17 156.80 149.77 7.23
1.33 0.55 1.21 2.23 151.17 161.02 149.77 8.01
1.29 0.47 1.21 2.23 147.66 161.02 145.55 8.50
1.37 0.55 1.25 2.30 151.88 168.75 147.66 7.71
1.29 0.51 1.17 1.60 149.77 163.83 146.95 7.62
1.37 0.55 1.25 2.23 144.84 163.12 142.03 7.52
1.33 0.59 1.17 1.84 141.33 159.61 136.41 7.91
1.45 0.62 1.29 1.84 146.95 174.38 140.62 7.62
1.29 0.55 1.17 2.15 147.66 176.48 142.73 8.79
1.45 0.62 1.29 1.99 144.14 159.61 141.33 7.62
1.33 0.59 1.21 1.72 147.66 180.70 139.22 8.20
1.52 0.66 1.37 2.54 144.84 197.58 137.11 7.03
1.56 0.55 1.45 2.46 137.81 178.59 133.59 8.50
1.56 0.66 1.41 2.07 127.97 50.62 130.08 8.50
1.56 0.51 1.48 2.19 132.89 164.53 129.38 7.91
1.48 0.55 1.41 1.99 132.19 161.02 130.08 7.42
1.52 0.66 1.37 2.23 139.92 172.27 133.59 7.13
1.37 0.47 1.29 1.99 139.22 171.56 135.70 8.20
1.48 0.55 1.37 2.19 142.73 165.94 138.52 8.11
1.45 0.43 1.37 2.03 142.73 167.34 140.62 8.59
1.33 0.51 1.25 1.88 144.14 163.12 140.62 8.11
1.33 0.55 1.21 2.07 148.36 173.67 143.44 7.32
1.41 0.47 1.33 2.27 140.62 158.20 139.22 7.42
1.33 0.47 1.21 2.19 137.81 163.12 132.89 7.81
1.29 0.43 1.21 1.91 142.73 169.45 138.52 7.62
1.41 0.47 1.33 2.50 139.22 161.72 135.70 7.32
1.33 0.47 1.25 1.76 144.84 171.56 140.62 7.91
1.37 0.51 1.25 2.03 147.66 177.19 142.03 7.91
1.25 0.39 1.21 1.80 140.62 164.53 137.81 8.50
1.33 0.39 1.25 1.84 143.44 175.08 139.92 7.71
1.37 0.47 1.25 2.03 139.92 169.45 136.41 7.91
1.21 0.43 1.13 1.52 137.11 163.12 133.59 7.52
1.25 0.51 1.13 1.64 139.92 184.22 134.30 8.01
1.25 0.55 1.09 1.76 129.38 146.25 130.08 24.41
1.17 0.39 1.09 1.68 132.89 158.20 130.78 7.62
1.33 0.39 1.25 2.03 130.08 161.72 128.67 7.52
1.29 0.43 1.21 1.80 130.78 164.53 127.97 7.03
1.29 0.35 1.21 1.64 130.08 175.08 125.86 7.23
1.25 0.35 1.21 1.72 127.27 168.05 124.45 7.42
1.37 0.59 1.25 1.80 125.16 286.88 121.64 7.03
1.25 0.35 1.21 1.72 129.38 175.08 125.86 8.11
1.09 0.35 1.02 1.45 129.38 193.36 126.56 7.52
1.25 0.47 1.13 1.56 134.30 175.08 127.97 7.62
1.17 0.43 1.09 1.76 128.67 141.33 126.56 7.23
1.13 0.31 1.05 1.37 130.78 158.91 127.97 8.11
1.17 0.31 1.13 1.84 130.08 161.72 127.97 7.32
1.09 0.27 1.05 1.45 126.56 163.12 122.34 7.23
1.13 0.31 1.09 1.60 130.78 187.03 125.16 7.13
1.17 0.31 1.13 1.76 130.08 168.05 127.27 7.13
1.13 0.35 1.05 1.64 129.38 166.64 125.86 7.71
1.25 0.43 1.17 1.60 135.00 186.33 127.27 7.23
1.05 0.31 1.02 1.48 123.05 187.73 120.23 7.23
1.05 0.39 1.02 1.64 127.97 165.94 122.34 7.81
1.17 0.27 1.13 1.60 120.23 180.00 116.72 7.42
1.17 0.31 1.13 1.64 125.16 182.11 121.64 7.23
1.09 0.27 1.05 1.64 128.67 205.31 124.45 7.32
1.13 0.27 1.09 1.72 130.78 166.64 127.97 7.81
0.98 0.27 0.94 1.45 130.08 144.84 128.67 7.42
1.13 0.39 1.05 1.37 132.89 192.66 129.38 7.32
1.17 0.47 1.09 1.99 136.41 258.05 127.97 7.23
1.21 0.27 1.17 1.68 126.56 210.23 124.45 7.62
1.09 0.27 1.05 1.72 129.38 196.88 125.16 7.52
