%hm0 hm0a hm0b hmax mdir mdira mdirb tp
0.82 0.47 0.70 1.25 164.53 198.98 153.98 13.28
0.82 0.51 0.66 1.21 174.38 210.94 154.69 13.48
0.78 0.43 0.66 1.05 169.45 205.31 153.98 12.50
0.90 0.59 0.70 1.29 171.56 206.02 153.98 13.09
0.82 0.51 0.62 1.21 166.64 209.53 151.17 11.91
0.74 0.47 0.59 1.05 170.86 201.80 151.17 13.28
0.74 0.51 0.59 1.05 172.97 198.28 152.58 12.30
0.74 0.47 0.55 0.98 183.52 197.58 170.86 11.62
0.74 0.47 0.59 1.13 197.58 214.45 171.56 24.41
0.86 0.55 0.66 1.13 196.17 215.16 172.97 8.11
0.78 0.51 0.62 1.13 187.73 209.53 167.34 11.43
0.74 0.35 0.62 1.13 182.81 201.80 174.38 7.52
0.74 0.39 0.62 0.90 182.81 208.83 171.56 12.21
0.78 0.39 0.70 1.17 187.03 217.97 174.38 7.13
0.82 0.43 0.70 1.13 166.64 205.31 151.88 11.62
0.82 0.31 0.74 1.17 154.69 217.27 149.06 7.52
0.90 0.39 0.78 1.33 154.69 231.33 139.92 7.32
0.82 0.39 0.74 1.09 155.39 233.44 143.44 11.23
0.86 0.35 0.78 1.13 146.95 221.48 137.81 6.54
0.86 0.35 0.78 1.17 140.62 222.89 134.30 5.96
0.94 0.47 0.82 1.29 146.95 221.48 133.59 10.45
0.90 0.35 0.82 1.05 144.14 215.16 134.30 6.93
0.94 0.31 0.86 1.64 139.22 220.08 134.30 7.13
0.86 0.27 0.82 1.37 138.52 196.88 132.89 7.32
0.82 0.27 0.78 0.94 137.81 222.19 132.19 7.23
0.74 0.27 0.66 0.94 142.03 200.39 135.70 7.91
0.86 0.31 0.82 1.17 225.00 182.81 250.31 3.12
1.09 0.27 1.09 1.45 280.55 198.98 285.47 4.20
1.33 0.31 1.29 1.88 285.47 187.73 287.58 4.88
1.60 0.27 1.56 2.07 288.98 180.00 289.69 5.37
1.52 0.35 1.48 2.50 282.66 191.95 284.06 5.76
1.41 0.31 1.41 2.03 273.52 170.86 274.92 5.47
1.37 0.27 1.33 1.80 270.70 198.98 272.11 5.57
1.29 0.20 1.25 1.88 269.30 201.09 270.00 5.96
1.29 0.20 1.29 1.76 257.34 208.83 258.05 5.57
1.37 0.20 1.37 2.19 255.94 193.36 256.64 5.57
1.25 0.16 1.25 1.95 258.75 213.05 259.45 5.96
1.09 0.31 1.02 1.45 251.72 269.30 248.91 5.37
0.94 0.23 0.90 1.41 229.92 187.73 228.52 5.47
0.98 0.20 0.98 1.56 235.55 191.25 235.55 5.76
0.90 0.27 0.86 1.09 233.44 197.58 235.55 5.27
0.74 0.20 0.74 1.09 224.30 182.81 226.41 4.88
0.74 0.20 0.70 0.94 232.73 191.25 234.84 5.08
0.70 0.16 0.70 1.17 230.62 187.03 231.33 4.88
0.70 0.20 0.66 0.90 232.73 206.02 234.84 5.37
0.70 0.20 0.66 1.02 239.06 201.80 241.17 5.08
0.74 0.20 0.70 0.90 252.42 185.62 255.23 3.32
0.74 0.16 0.74 1.05 246.09 205.31 246.80 4.10
0.82 0.16 0.82 1.09 250.31 182.81 253.12 4.79
0.78 0.16 0.74 1.02 246.80 194.77 248.91 4.79
0.82 0.16 0.82 1.13 241.88 192.66 243.28 4.98
0.90 0.20 0.86 1.25 234.14 207.42 235.55 4.79
0.86 0.20 0.82 1.25 233.44 223.59 234.14 5.27
0.78 0.20 0.74 1.21 229.92 224.30 229.92 4.98
0.78 0.23 0.74 1.17 220.08 210.94 220.78 4.98
0.78 0.16 0.78 1.21 225.00 203.20 225.70 4.69
0.82 0.23 0.78 1.41 220.78 196.17 220.78 5.37
0.86 0.16 0.86 1.25 234.84 189.14 236.25 5.66
1.02 0.23 0.98 1.48 237.66 223.59 237.66 5.47
1.05 0.16 1.05 1.56 235.55 209.53 234.84 5.66
1.29 0.20 1.29 2.27 235.55 205.31 235.55 5.57
1.37 0.20 1.37 1.95 232.73 175.08 232.73 5.86
1.56 0.20 1.56 2.34 242.58 206.02 242.58 6.64
1.52 0.20 1.52 2.54 239.77 225.70 239.77 5.86
1.72 0.20 1.68 2.66 243.28 180.70 243.28 6.25
1.80 0.23 1.76 2.73 246.09 208.12 246.80 6.74
1.64 0.20 1.64 2.27 241.88 205.31 241.88 6.74
1.88 0.20 1.88 3.05 243.28 203.20 243.28 6.74
2.03 0.23 1.99 3.12 243.28 225.00 243.28 7.71
2.15 0.27 2.15 3.20 249.61 234.84 249.61 8.30
2.11 0.23 2.07 2.62 245.39 238.36 244.69 8.11
2.30 0.27 2.30 4.22 242.58 222.89 242.58 8.40
1.99 0.31 1.99 2.81 243.28 217.27 243.98 7.71
1.95 0.31 1.95 2.66 232.73 199.69 233.44 7.62
1.88 0.27 1.84 2.70 229.92 219.38 230.62 7.71
1.80 0.27 1.80 2.81 230.62 212.34 230.62 8.11
1.84 0.39 1.80 2.85 228.52 208.12 229.22 8.11
1.64 0.55 1.56 2.19 227.11 229.92 227.81 7.32
1.68 0.35 1.64 2.46 222.19 229.22 222.19 8.79
1.72 0.43 1.68 2.23 229.22 211.64 230.62 8.20
1.76 0.39 1.72 2.89 229.22 222.19 229.92 8.79
1.80 0.55 1.68 2.85 222.89 217.97 223.59 8.79
1.68 0.47 1.64 2.11 224.30 221.48 224.30 9.57
1.72 0.39 1.68 2.27 232.73 214.45 232.73 8.40
1.68 0.43 1.64 2.66 227.81 213.05 228.52 8.59
1.80 0.47 1.76 3.12 225.00 213.05 225.00 8.59
1.76 0.59 1.68 2.34 220.78 201.80 221.48 9.18
1.68 0.43 1.64 2.85 214.45 205.31 214.45 9.47
1.64 0.59 1.52 2.07 220.78 206.72 222.19 9.18
1.60 0.66 1.45 2.15 213.75 203.91 214.45 9.18
1.68 0.74 1.52 2.58 218.67 217.27 218.67 9.18
1.72 0.82 1.52 2.27 215.16 213.05 215.16 9.18
1.64 0.66 1.52 2.30 212.34 209.53 212.34 9.08
1.72 0.78 1.48 2.19 215.86 220.08 215.86 9.86
1.72 0.90 1.45 2.54 217.27 213.75 216.56 9.96
1.52 0.47 1.45 2.34 209.53 204.61 210.23 9.18
1.72 0.74 1.56 2.81 211.64 219.38 211.64 8.50
1.48 0.74 1.29 2.30 208.12 222.19 206.72 10.06
1.64 0.90 1.37 2.27 203.91 203.20 203.20 10.06
1.41 0.55 1.29 2.46 206.02 226.41 206.72 9.96
1.68 0.74 1.52 2.30 203.91 210.23 203.91 9.77
1.52 0.43 1.48 2.54 202.50 217.97 202.50 9.96
1.45 0.43 1.37 1.88 200.39 229.22 200.39 9.47
1.37 0.39 1.33 1.99 196.17 212.34 196.17 9.77
1.37 0.31 1.33 2.15 200.39 224.30 200.39 9.38
1.21 0.31 1.17 1.45 189.84 210.94 189.84 9.18
1.29 0.31 1.25 2.03 192.66 211.64 192.66 8.89
1.21 0.27 1.17 1.68 201.09 211.64 200.39 8.79
1.25 0.39 1.17 1.76 191.25 197.58 189.84 9.57
1.25 0.47 1.17 1.76 193.36 209.53 191.95 8.89
1.33 0.39 1.25 2.11 182.11 211.64 180.00 8.30
1.41 0.59 1.29 2.07 186.33 209.53 183.52 8.98
1.45 0.59 1.33 2.07 182.11 200.39 179.30 8.98
1.37 0.43 1.29 1.91 177.89 198.98 175.78 9.38
1.41 0.47 1.29 1.91 174.38 195.47 171.56 9.18
1.52 0.62 1.37 2.03 171.56 183.52 170.86 8.79
1.56 0.74 1.33 2.03 177.19 197.58 172.27 8.50
1.60 0.82 1.37 2.38 170.16 193.36 165.94 11.62
1.48 0.86 1.25 1.99 173.67 191.95 170.86 8.30
1.37 0.74 1.17 1.99 168.75 183.52 163.12 11.62
1.56 0.78 1.33 2.30 168.75 193.36 162.42 8.79
1.60 0.78 1.37 2.38 172.27 185.62 169.45 8.98
1.45 0.78 1.21 2.03 172.27 192.66 162.42 10.94
1.33 0.62 1.17 2.70 175.08 200.39 170.16 8.40
1.37 0.62 1.21 1.99 165.23 180.70 163.83 7.91
1.37 0.59 1.21 1.84 166.64 190.55 162.42 8.79
1.21 0.55 1.05 1.45 165.23 185.62 161.72 7.71
1.21 0.47 1.13 2.19 165.23 182.81 162.42 9.18
1.41 0.59 1.29 1.99 168.05 184.22 165.23 9.18
1.29 0.66 1.09 1.99 172.97 193.36 169.45 10.25
1.21 0.51 1.13 1.72 165.94 182.11 163.12 9.38
1.17 0.43 1.09 1.52 165.23 189.14 162.42 9.67
1.13 0.39 1.05 1.41 161.72 176.48 159.61 9.18
1.17 0.51 1.05 1.60 156.09 179.30 153.28 10.25
1.21 0.47 1.09 1.76 156.80 177.89 152.58 9.08
1.05 0.39 0.98 1.68 156.09 189.84 151.88 9.28
1.02 0.43 0.94 1.52 149.77 194.77 147.66 7.71
1.05 0.39 1.02 1.37 151.17 163.12 148.36 9.28
1.05 0.39 0.98 1.76 146.95 177.19 145.55 9.96
1.02 0.31 0.98 1.41 148.36 178.59 144.84 9.28
1.05 0.35 0.98 1.48 153.98 182.11 151.88 9.77
0.98 0.39 0.86 1.25 154.69 186.33 149.77 10.45
0.90 0.35 0.86 1.33 159.61 180.00 156.80 8.11
0.90 0.35 0.82 1.21 150.47 185.62 144.14 7.81
0.86 0.31 0.78 1.09 149.77 169.45 146.95 9.57
0.86 0.31 0.82 1.33 156.80 175.08 153.98 7.91
0.82 0.31 0.78 1.05 153.28 177.89 149.06 8.30
0.82 0.31 0.74 1.41 158.20 187.73 155.39 10.35
0.78 0.27 0.74 1.17 153.28 186.33 151.88 7.23
0.86 0.23 0.82 1.09 155.39 296.02 154.69 8.50
0.82 0.23 0.82 1.09 156.09 175.08 154.69 6.93
0.78 0.23 0.78 1.13 157.50 198.28 154.69 7.71
0.82 0.20 0.78 1.13 151.88 168.05 151.17 7.03
0.78 0.20 0.78 1.13 154.69 191.95 153.28 7.23
0.78 0.20 0.74 1.17 152.58 190.55 151.17 7.91
0.82 0.27 0.74 1.05 153.28 184.22 150.47 5.66
0.78 0.20 0.74 0.98 146.95 175.08 142.73 6.45
0.74 0.27 0.70 1.25 149.06 205.31 143.44 5.18
0.74 0.23 0.70 1.13 145.55 187.03 144.14 7.13
0.70 0.23 0.70 1.25 144.14 145.55 144.14 7.52
0.70 0.20 0.66 0.94 149.06 190.55 142.73 5.96
0.74 0.20 0.70 0.94 142.73 166.64 142.03 6.45
0.78 0.20 0.78 1.17 139.22 158.91 137.81 5.57
0.74 0.16 0.74 1.21 140.62 125.86 141.33 6.74
0.78 0.16 0.78 1.13 139.22 155.39 139.92 6.93
0.82 0.12 0.82 1.33 139.22 155.39 139.22 6.84
0.86 0.16 0.82 1.09 138.52 208.12 136.41 6.64
0.78 0.12 0.78 1.25 139.22 152.58 139.22 7.23
0.78 0.16 0.78 1.21 141.33 175.08 139.92 7.03
0.74 0.12 0.74 1.13 138.52 170.86 137.81 6.54
0.74 0.12 0.74 1.17 142.03 153.28 142.03 6.45
0.74 0.12 0.74 0.98 139.92 180.70 139.92 6.93
0.74 0.12 0.74 1.13 142.73 182.81 142.03 7.13
0.78 0.12 0.78 1.02 143.44 175.78 142.73 6.93
0.70 0.12 0.66 1.02 140.62 163.12 140.62 6.84
0.78 0.12 0.78 1.13 142.73 188.44 142.03 6.64
0.70 0.12 0.70 0.98 146.25 193.36 145.55 6.74
0.70 0.12 0.66 1.21 144.14 176.48 142.73 6.45
0.66 0.12 0.66 0.90 145.55 201.80 144.14 6.64
0.62 0.12 0.62 0.94 146.95 180.70 146.25 7.23
0.66 0.16 0.62 0.94 146.25 173.67 145.55 7.13
0.62 0.12 0.62 1.05 149.77 192.66 149.06 7.32
0.62 0.12 0.59 0.94 149.77 189.84 149.06 6.54
0.59 0.12 0.59 0.82 149.77 190.55 148.36 6.15
0.62 0.16 0.62 0.86 148.36 180.70 146.95 5.76
0.62 0.12 0.62 0.82 151.17 194.77 149.06 5.96
0.62 0.12 0.62 0.90 151.17 188.44 149.06 7.23
0.62 0.16 0.62 0.86 154.69 190.55 153.28 5.27
0.59 0.16 0.59 0.82 150.47 175.78 150.47 7.13
0.59 0.20 0.59 0.82 155.39 182.11 154.69 5.57
0.62 0.16 0.62 0.86 159.61 187.73 158.20 9.18
0.62 0.16 0.62 0.82 165.23 177.89 164.53 9.67
0.62 0.16 0.59 0.82 187.03 188.44 186.33 6.93
0.62 0.16 0.59 0.78 194.06 180.70 194.77 6.35
0.66 0.16 0.66 0.98 202.50 181.41 204.61 9.08
0.70 0.16 0.70 0.94 223.59 189.84 225.00 3.52
0.70 0.16 0.70 1.13 207.42 189.84 208.83 6.74
0.66 0.16 0.62 0.94 202.50 184.22 203.91 8.89
0.70 0.20 0.66 0.90 203.91 176.48 206.72 8.20
0.74 0.20 0.70 0.90 209.53 187.03 210.94 8.69
0.78 0.20 0.74 1.09 228.52 177.89 231.33 3.81
0.94 0.23 0.90 1.41 237.66 196.17 238.36 3.91
0.94 0.20 0.90 1.37 230.62 169.45 232.03 4.39
0.94 0.27 0.90 1.09 229.22 184.92 231.33 4.30
0.98 0.31 0.94 1.25 237.66 201.80 241.88 4.30
0.98 0.31 0.90 1.17 234.14 190.55 238.36 4.49
0.98 0.27 0.94 1.17 229.92 195.47 232.03 8.59
1.17 0.39 1.09 1.52 225.00 189.14 229.22 6.84
1.29 0.31 1.25 2.03 210.23 189.14 210.94 8.20
1.37 0.35 1.33 2.42 198.28 182.11 198.98 7.71
1.21 0.43 1.13 1.56 196.17 183.52 198.28 7.71
1.33 0.47 1.25 1.84 193.36 201.09 192.66 7.32
1.21 0.51 1.09 1.48 192.66 182.81 194.06 6.93
1.25 0.55 1.09 1.60 193.36 196.17 191.95 14.84
1.17 0.51 1.09 1.60 186.33 191.25 185.62 6.84
1.17 0.51 1.05 1.68 190.55 189.84 189.84 10.16
1.09 0.47 1.02 1.60 186.33 196.17 185.62 9.38
1.21 0.66 1.02 1.84 190.55 198.28 187.73 12.99
1.13 0.62 0.94 1.76 195.47 203.20 191.25 12.60
1.17 0.70 0.94 1.72 196.17 199.69 194.77 13.09
1.21 0.78 0.90 1.68 196.17 199.69 193.36 10.64
1.13 0.70 0.86 1.88 193.36 198.28 189.14 12.60
1.21 0.86 0.86 1.72 194.06 197.58 189.84 12.30
1.17 0.74 0.86 1.64 195.47 203.20 189.84 12.60
1.09 0.74 0.82 1.48 194.77 201.09 189.14 14.84
1.05 0.66 0.82 1.48 194.77 198.28 190.55 11.82
1.17 0.78 0.86 2.11 201.80 209.53 193.36 12.60
1.13 0.78 0.82 1.76 197.58 202.50 194.06 14.84
1.13 0.82 0.78 1.68 198.28 200.39 196.17 11.91
1.09 0.70 0.86 1.99 198.98 202.50 195.47 12.21
1.13 0.78 0.78 1.45 198.28 202.50 194.06 11.91
1.13 0.82 0.74 1.48 199.69 203.20 196.17 14.06
1.13 0.78 0.82 1.88 200.39 201.80 198.28 12.99
1.17 0.86 0.82 1.60 198.98 199.69 196.88 12.60
1.17 0.82 0.82 1.60 198.98 201.09 196.88 12.50
1.25 0.86 0.90 1.95 203.20 210.23 196.17 12.99
1.17 0.82 0.82 1.84 196.88 204.61 188.44 11.13
1.13 0.74 0.86 1.37 198.28 206.72 189.84 11.04
1.13 0.78 0.82 1.76 197.58 208.12 187.73 11.82
1.09 0.74 0.78 2.03 192.66 203.20 186.33 10.74
1.41 1.13 0.82 2.19 199.69 205.31 190.55 19.34
1.05 0.70 0.78 1.48 187.73 200.39 180.70 12.79
1.09 0.70 0.82 1.52 192.66 208.12 180.70 14.26
1.17 0.90 0.70 1.56 191.95 199.69 182.81 18.95
1.29 0.98 0.82 1.95 192.66 201.80 181.41 18.65
1.21 0.98 0.74 1.64 194.06 207.42 171.56 17.97
1.37 1.09 0.78 2.03 194.06 205.31 170.86 18.26
1.60 1.41 0.74 1.95 194.77 202.50 166.64 18.26
1.25 1.02 0.74 2.07 192.66 207.42 164.53 18.26
1.48 1.25 0.82 1.91 189.14 201.09 160.31 17.68
1.48 1.29 0.74 1.95 187.03 200.39 152.58 17.68
1.45 1.21 0.78 2.03 187.03 203.20 146.95 17.68
1.64 1.41 0.82 2.46 189.84 203.20 135.00 16.50
1.37 1.05 0.86 1.80 177.89 198.28 139.92 17.97
1.45 1.21 0.78 1.80 177.19 194.77 137.81 17.38
1.21 0.90 0.82 1.95 167.34 196.88 133.59 17.68
1.48 1.25 0.82 1.99 185.62 202.50 133.59 18.26
1.56 1.25 0.90 2.03 176.48 198.28 127.27 16.50
1.56 1.25 0.94 2.27 171.56 191.25 129.38 17.68
1.45 1.13 0.94 2.38 167.34 195.47 128.67 17.97
1.48 1.09 0.98 2.38 168.75 194.06 125.86 17.09
1.37 0.94 1.02 1.88 166.64 215.86 123.05 14.26
1.60 1.21 1.09 2.62 165.23 194.06 122.34 16.50
1.52 1.02 1.09 1.99 149.06 204.61 111.80 16.02
1.68 1.29 1.05 2.54 156.80 180.00 114.61 17.09
1.29 0.90 0.90 1.95 151.17 184.22 116.72 15.72
1.21 0.94 0.82 1.72 161.72 189.84 123.75 16.21
1.33 1.02 0.86 2.27 172.27 194.77 130.08 16.50
1.21 0.90 0.82 1.88 167.34 196.88 129.38 15.33
0.94 0.59 0.74 1.56 156.80 196.17 132.89 15.04
1.13 0.86 0.70 1.56 173.67 194.06 136.41 15.53
1.05 0.74 0.70 1.45 165.94 194.77 132.19 15.53
0.94 0.55 0.74 1.09 153.98 191.25 132.19 16.21
1.02 0.70 0.74 1.25 161.72 195.47 135.70 16.21
0.90 0.55 0.70 1.13 151.88 184.22 130.78 12.50
1.09 0.82 0.74 1.48 169.45 196.88 135.70 15.33
1.05 0.74 0.70 1.45 163.83 190.55 137.11 15.72
1.02 0.62 0.78 1.33 158.91 190.55 137.81 15.53
1.02 0.59 0.82 1.25 158.20 203.91 131.48 14.06
1.05 0.55 0.86 1.21 152.58 203.91 130.08 14.45
1.09 0.62 0.90 1.52 156.80 225.70 130.78 15.53
1.09 0.59 0.94 1.33 153.98 201.80 125.16 14.26
1.37 0.66 1.17 1.60 127.97 212.34 118.83 14.65
1.25 0.62 1.09 1.60 137.81 195.47 123.75 15.33
1.25 0.43 1.13 1.64 131.48 199.69 123.75 7.81
1.17 0.55 1.05 1.45 135.70 181.41 123.05 15.72
1.21 0.55 1.05 1.52 135.70 191.25 124.45 15.72
1.21 0.59 1.05 1.48 132.19 201.80 117.42 23.24
1.25 0.55 1.13 1.80 116.72 203.20 101.25 14.65
1.09 0.55 0.94 1.48 130.08 187.03 110.39 15.53
1.05 0.43 0.98 1.33 123.75 187.03 116.02 8.79
1.02 0.47 0.94 1.25 123.05 232.03 114.61 22.27
1.02 0.47 0.90 1.52 132.19 190.55 118.83 20.51
0.98 0.39 0.90 1.25 132.89 196.17 122.34 8.11
0.98 0.39 0.90 1.21 135.00 194.06 124.45 7.13
1.02 0.47 0.90 1.29 137.81 202.50 126.56 14.84
0.90 0.39 0.82 1.37 135.00 180.70 124.45 8.30
0.94 0.39 0.86 1.33 139.92 196.88 128.67 8.40
0.98 0.43 0.86 1.29 140.62 184.22 129.38 7.81
1.05 0.47 0.94 1.52 139.92 197.58 127.97 7.71
1.02 0.47 0.90 1.52 138.52 203.20 127.97 8.01
1.13 0.43 1.05 1.68 134.30 194.77 125.16 7.62
1.13 0.43 1.05 1.56 130.08 180.70 125.16 7.71
1.29 0.62 1.09 1.52 142.73 207.42 126.56 14.84
1.33 0.55 1.21 1.72 134.30 191.95 125.16 8.20
1.33 0.43 1.29 1.99 128.67 195.47 124.45 7.91
1.52 0.66 1.37 2.15 137.81 189.14 125.86 7.23
1.45 0.51 1.37 2.23 131.48 193.36 125.16 7.71
1.45 0.51 1.33 1.88 133.59 191.25 126.56 7.91
1.09 0.39 1.02 1.60 136.41 195.47 129.38 8.20
1.09 0.47 0.98 1.68 134.30 190.55 123.05 8.11
1.09 0.35 1.02 1.76 125.86 186.33 119.53 8.11
